delegate,voting_power
0xbfdc0906313dec9dd0f38d5867060627e3ba5c9e,24999.999999999996
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,24945.203196318693
0x7a45ee0be5c4bdc938a5f00a2aef393f46502d26,24674.008281221755
0x049e37b4276b58db622ab5db2ff2affcb40dc11c,24423.549656829324
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,23828.52223678
0xebe8184a565382a99713cbf58ba756ad6af5421f,23706.723296332155
0xe626e8ca82603e3b44751f8562b5ed126d345140,23469.03361720023
0x025376e7e7f161a198fb5fc90a220a553836d11a,22818.66582463725
0xc3e8ac233f02d13c1e299e47ae230c205e0177ed,22423.490404787917
0x6cfbf06e8b6612b39333ea7c230208d1d178278d,22076.68622478495
0x0b411e641a36be7a99f9a86c2fbb8eec3ee560f3,21676.853720624375
0x00409fc839a2ec2e6d12305423d37cd011279c09,21559.293915919552
0x197f8a140cac23d8f01132018d549bae07536249,21470.445293723726
0x1e39cc29009ed4760c186d8771295c1e224882d4,21056.10251571645
0xd3efbc65713c307d3057b7e0979a996f6a9799ac,20818.406341764472
0x5ffd23b1b0350debb17a2cb668929ac5f76d0e18,20806.264995629994
0x3b128c6c1207d72092a8b3f6d651dfe54682a404,20107.124899650367
0xf7fdd35f0c55cfea37e47ad1a7a9c2b7ee0d016d,20000.69131281
0x6febe9978e126d3cd18665c1d0f2378c95463c03,20000.0
0xdfc65e0292573311df30ea4de81f941bcd726ab6,19873.193322102557
0x2345f4e0cdf00d427d773413dd4617d0156c29a9,18986.39124006116
0x3f11753c51a8acc79b78b729d477948b4b880da1,18592.519660881757
0xbec643bd5b7f5e9190617ca4187ef0455950c51c,18555.383657546852
0x9d63038e7f74bc089eb38e61be8da937918900d6,18095.095638489984
0xbe7019f8333b0b3cfc707ac353ebc2123140134c,17643.51242124745
0xe62e462f310723818196c0e551b747bfa5645624,17204.484938039313
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,16938.31377281557
0x0dfc45e84747c1f2810af77edb65a1a67bd8860a,16638.69892983516
0x77be616e71c9fa8579a14fa1e6af81cb44d7d886,16536.7460029207
0x5f367bf126fda56d88ba88a8978d5496c66b3569,16346.801768851088
0xb55084e4d57b2bd94647aa649b9cefee07d32636,16304.934253103109
0x19046ee4e8e784e53189736588df138336ab8776,16053.169844174072
0x38e77e487518851f47e8470433d69f3119304d7c,15954.623113012358
0xc102f76973f4890cab1b5d1ed26f3623381983af,15758.885832602908
0x60ec4fd8069513f738f3a0f41b9e00c294e74bf3,15722.832086802764
0x493c0be3ddddb2217a06a631d1392dcd09b4d89e,15602.939502937168
0xe3438e31702fa8d72a83e7ea89fdf92649196862,15563.21392540519
0x8659d0bb123da6d16d9394c7838ba286c2207d0e,15312.20394563125
0x66946def4ba6153c500d743b7a5febfc1654d6bd,15303.034767820125
0x519e9aa581e8a00cf4aa51ffc85b5e2bd2beca75,15027.306930962674
0x63a0b8f80150e93aa68e90327acbc2c0bc46cfda,15010.255579763229
